"finalresultNorm.SampleSize","finalresultNorm.Pr","finalresultNorm.IndependentVariables","finalresultNorm.Interaction","finalresultNorm.OutlierExclusion","finalresultBin.SampleSize","finalresultBin.Pr","finalresultBin.IndependentVariables","finalresultBin.Interaction","finalresultBin.OutlierExclusion","finalresultNormBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.IndependentVariables","finalresultNormBin.Interaction","finalresultNormBin.OutlierExclusion","finalresultBinNorm.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Interaction","finalresultBinNorm.OutlierExclusion"
50,0.182857142857143,7,"In FALSE","SD FALSE",50,0.152857142857143,7,"In FALSE","SD FALSE",50,0.158571428571429,7,"In FALSE","SD FALSE",50,0.148571428571429,7,"In FALSE","SD FALSE"
100,0.152857142857143,7,"In FALSE","SD FALSE",100,0.137142857142857,7,"In FALSE","SD FALSE",100,0.167142857142857,7,"In FALSE","SD FALSE",100,0.131428571428571,7,"In FALSE","SD FALSE"
150,0.161428571428571,7,"In FALSE","SD FALSE",150,0.147142857142857,7,"In FALSE","SD FALSE",150,0.155714285714286,7,"In FALSE","SD FALSE",150,0.0957142857142857,7,"In FALSE","SD FALSE"
200,0.157142857142857,7,"In FALSE","SD FALSE",200,0.125714285714286,7,"In FALSE","SD FALSE",200,0.172857142857143,7,"In FALSE","SD FALSE",200,0.13,7,"In FALSE","SD FALSE"
250,0.155714285714286,7,"In FALSE","SD FALSE",250,0.128571428571429,7,"In FALSE","SD FALSE",250,0.167142857142857,7,"In FALSE","SD FALSE",250,0.112857142857143,7,"In FALSE","SD FALSE"
300,0.155714285714286,7,"In FALSE","SD FALSE",300,0.147142857142857,7,"In FALSE","SD FALSE",300,0.155714285714286,7,"In FALSE","SD FALSE",300,0.125714285714286,7,"In FALSE","SD FALSE"
350,0.17,7,"In FALSE","SD FALSE",350,0.138571428571429,7,"In FALSE","SD FALSE",350,0.145714285714286,7,"In FALSE","SD FALSE",350,0.132857142857143,7,"In FALSE","SD FALSE"
400,0.16,7,"In FALSE","SD FALSE",400,0.152857142857143,7,"In FALSE","SD FALSE",400,0.162857142857143,7,"In FALSE","SD FALSE",400,0.127142857142857,7,"In FALSE","SD FALSE"
450,0.188571428571429,7,"In FALSE","SD FALSE",450,0.115714285714286,7,"In FALSE","SD FALSE",450,0.164285714285714,7,"In FALSE","SD FALSE",450,0.121428571428571,7,"In FALSE","SD FALSE"
500,0.15,7,"In FALSE","SD FALSE",500,0.131428571428571,7,"In FALSE","SD FALSE",500,0.175714285714286,7,"In FALSE","SD FALSE",500,0.135714285714286,7,"In FALSE","SD FALSE"
50,0.144285714285714,6,"In FALSE","SD FALSE",50,0.12,6,"In FALSE","SD FALSE",50,0.141428571428571,6,"In FALSE","SD FALSE",50,0.132857142857143,6,"In FALSE","SD FALSE"
100,0.121428571428571,6,"In FALSE","SD FALSE",100,0.135714285714286,6,"In FALSE","SD FALSE",100,0.114285714285714,6,"In FALSE","SD FALSE",100,0.128571428571429,6,"In FALSE","SD FALSE"
150,0.132857142857143,6,"In FALSE","SD FALSE",150,0.107142857142857,6,"In FALSE","SD FALSE",150,0.147142857142857,6,"In FALSE","SD FALSE",150,0.111428571428571,6,"In FALSE","SD FALSE"
200,0.131428571428571,6,"In FALSE","SD FALSE",200,0.104285714285714,6,"In FALSE","SD FALSE",200,0.138571428571429,6,"In FALSE","SD FALSE",200,0.135714285714286,6,"In FALSE","SD FALSE"
250,0.13,6,"In FALSE","SD FALSE",250,0.112857142857143,6,"In FALSE","SD FALSE",250,0.148571428571429,6,"In FALSE","SD FALSE",250,0.104285714285714,6,"In FALSE","SD FALSE"
300,0.155714285714286,6,"In FALSE","SD FALSE",300,0.115714285714286,6,"In FALSE","SD FALSE",300,0.157142857142857,6,"In FALSE","SD FALSE",300,0.101428571428571,6,"In FALSE","SD FALSE"
350,0.16,6,"In FALSE","SD FALSE",350,0.124285714285714,6,"In FALSE","SD FALSE",350,0.131428571428571,6,"In FALSE","SD FALSE",350,0.117142857142857,6,"In FALSE","SD FALSE"
400,0.134285714285714,6,"In FALSE","SD FALSE",400,0.104285714285714,6,"In FALSE","SD FALSE",400,0.128571428571429,6,"In FALSE","SD FALSE",400,0.128571428571429,6,"In FALSE","SD FALSE"
450,0.134285714285714,6,"In FALSE","SD FALSE",450,0.12,6,"In FALSE","SD FALSE",450,0.135714285714286,6,"In FALSE","SD FALSE",450,0.105714285714286,6,"In FALSE","SD FALSE"
500,0.134285714285714,6,"In FALSE","SD FALSE",500,0.124285714285714,6,"In FALSE","SD FALSE",500,0.131428571428571,6,"In FALSE","SD FALSE",500,0.0771428571428571,6,"In FALSE","SD FALSE"
50,0.132857142857143,5,"In FALSE","SD FALSE",50,0.0985714285714286,5,"In FALSE","SD FALSE",50,0.117142857142857,5,"In FALSE","SD FALSE",50,0.121428571428571,5,"In FALSE","SD FALSE"
100,0.114285714285714,5,"In FALSE","SD FALSE",100,0.0971428571428571,5,"In FALSE","SD FALSE",100,0.125714285714286,5,"In FALSE","SD FALSE",100,0.11,5,"In FALSE","SD FALSE"
150,0.108571428571429,5,"In FALSE","SD FALSE",150,0.0871428571428571,5,"In FALSE","SD FALSE",150,0.125714285714286,5,"In FALSE","SD FALSE",150,0.0942857142857143,5,"In FALSE","SD FALSE"
200,0.12,5,"In FALSE","SD FALSE",200,0.1,5,"In FALSE","SD FALSE",200,0.127142857142857,5,"In FALSE","SD FALSE",200,0.11,5,"In FALSE","SD FALSE"
250,0.108571428571429,5,"In FALSE","SD FALSE",250,0.11,5,"In FALSE","SD FALSE",250,0.104285714285714,5,"In FALSE","SD FALSE",250,0.0971428571428571,5,"In FALSE","SD FALSE"
300,0.117142857142857,5,"In FALSE","SD FALSE",300,0.105714285714286,5,"In FALSE","SD FALSE",300,0.12,5,"In FALSE","SD FALSE",300,0.105714285714286,5,"In FALSE","SD FALSE"
350,0.127142857142857,5,"In FALSE","SD FALSE",350,0.0971428571428571,5,"In FALSE","SD FALSE",350,0.101428571428571,5,"In FALSE","SD FALSE",350,0.0942857142857143,5,"In FALSE","SD FALSE"
400,0.11,5,"In FALSE","SD FALSE",400,0.0928571428571429,5,"In FALSE","SD FALSE",400,0.114285714285714,5,"In FALSE","SD FALSE",400,0.0971428571428571,5,"In FALSE","SD FALSE"
450,0.105714285714286,5,"In FALSE","SD FALSE",450,0.101428571428571,5,"In FALSE","SD FALSE",450,0.135714285714286,5,"In FALSE","SD FALSE",450,0.0885714285714286,5,"In FALSE","SD FALSE"
500,0.11,5,"In FALSE","SD FALSE",500,0.0842857142857143,5,"In FALSE","SD FALSE",500,0.111428571428571,5,"In FALSE","SD FALSE",500,0.0885714285714286,5,"In FALSE","SD FALSE"
50,0.0985714285714286,4,"In FALSE","SD FALSE",50,0.0742857142857143,4,"In FALSE","SD FALSE",50,0.104285714285714,4,"In FALSE","SD FALSE",50,0.104285714285714,4,"In FALSE","SD FALSE"
100,0.108571428571429,4,"In FALSE","SD FALSE",100,0.0757142857142857,4,"In FALSE","SD FALSE",100,0.101428571428571,4,"In FALSE","SD FALSE",100,0.09,4,"In FALSE","SD FALSE"
150,0.09,4,"In FALSE","SD FALSE",150,0.0842857142857143,4,"In FALSE","SD FALSE",150,0.114285714285714,4,"In FALSE","SD FALSE",150,0.0728571428571429,4,"In FALSE","SD FALSE"
